,text,label
2653,достойный экран с гибкий настройка отличный камера функционал и сборка на 4 по отзыв так понимать как и весь китай кама как повезти в общий телефон нормальный за свой деньга андроид 6 0 вообще норма твёрдый 4 для бюджетный смарт,1
2656,звук в наушник отстой шипение кряхтение бас отсутствовать радио ловить отвратительный фонарик тусклый куча софт от яндекс выкорчёвывать целый час не пользоваться усб шнурок из комплект мой оказаться переломить автомат который сматывать они при упаковка,0
2658,нет некоторый вещий к который я привыкнуть ещё с 2 го android камера если и 13 мп то значит оптик никакой по качество я кажется даже на 3 не тянуть кнопка не подсвечиваться хотя при покупка это знать покупать в качество звонилка том к для работа почта интернет и том плата использовать планшет такой ощущение что android урезанный нет виджет управление питание включение wi fi gps bluetooth яркость только через шторка который приходиться тянуть два раз прийтись искать аналог на маркета не быть g клавиатура в клавиатура отключить проверка правописание том к иногда писать спец термин весь равно делать корректировка при нажатие кнопка питание не предлагать выбрать режим вибро полёт и том далее весь этот вещий у я быть на весь телефон уже много год и к он просто привыкать но с другой сторона на экран есть панель поиск google который не убираться кнопка питание расположить низко поставить в пластиковый vr очки она зажиматься крепёж и телефон вырубаться,0
2669,слабый олеофобный покрытие тихий внешний динамик совместить слот в процесс эксплуатация выявиться серьёзный проблема при входящий вызов собеседник на друг конец я сразу не слышать не срабатывать микрофон сдать в сервис там проблема отказываться признавать 40 день возить и весь зря на форум писать что такой проблема на многий аппарат видимо брак,0
2679,нормальный комплектация хороший экран мощность работать здорово хватать мощность чтобы телефон тащить без проблема весь игрушка приложение и прочий прилаг ну и в нэта себя чувствовать нормальный весь грузиться быстро экран оптимальный размер аккумулятор пока на весь день хватать ну за этот деньга вариант отличный,1
2686,а вот с недостаток полный напрячь камера практически ужас нет функция съёмка панорама при запуск программа и сворачивание они в трей потом происходить они открытие заново соответственно это просто убивать любой желание работать с это телефон потом начинаться постоянный тормоз и зависание внешний вид не соответствовать желание использовать этот телефон как бы грустно это не звучать телефон быть продать в убыток так как вернуть без коробочка нельзя ктоб предупредить заранее что можно затестить и вернуть этот ужас,0
2688,стекло царапаться очень быстро аккумулятор на самый дело оказаться 1000m ah за свой деньга вполне сносно но хороший поискать что то другой,0
2692,батарея оперативный память из за этот два недостаток телефон становиться плохой,0
2696,батарея это просто атас за полдень садиться почти в ноль заряжаться только с свой зарядка быстро цветопередача не очень цвет очень холодное хотя это вроде настраиваться красить но дорога и батарея очень расстраивать если бы не барометр вряд ли быть бы купить,0
2697,камера неплохой шустрый оболочка от huawei 1 тратиться за 3 минута мощный железо 2 гб озу доступно от 700 до 1 2 гб лично для я звук 4 g хотя оно есть у весь современный устройство сканер отпечаток палец android 7 0 ну вообщий телефон хороший для такой цена в 9000р сказать большой нечего мочь спокойно брать данный аппарат,1
2698,цена качество большой экран искать телефон с больший экран для просмотр видео как навигатор для интернет телефон оказаться действительно не плохой неплохой камера как основный так и фронтальный видео писать без тормоз и качество действительно хороший что касаться фото при хороший освещение снимка получаться хороший авто фокус делать свой дело что касаться экран не бликовать на солнце угол обзор хороший видео смотреть один удовольствие что касаться расширение то зернистость совсем не видно gps работать отлично искать быстро сбой нет связь ловить хорошо интернет работать отлично хотя и нет 4 g батарея кстати очень даже жить хватать на два день сметь если правда выключить интернет и фоновый приложение если пользоваться смешанно то хватать на весь день четыре фильм тянуть от сто процент до десять простой говорить телефон очень даже порадовать после покупка сразу обновиться в течение два месяц пришлый ещё один обновление к большой экран привыкать быстро тем более есть функция управление один рука телефон брать рекомендовать кома нужный и телефон и планшет в один флакон но и звезда с небо не хватать потому что телефон весь равно средневичка в свой сегмент кстати спасибо днс доставить быстро в назначить время в магазин продавец добрадушный объяснить подсказать рассказать в целое весь хорошо спасибо большой,1
2702,кнопка постоянно нажиматься в карман ухо нажимать отключение микрофон и пауза в разговор хотя экран вроде выключить гнездо наушник стать глючить то слышный я то нет приложение на внешний карта просто виснуть графический приложение тормозить безбожно вывод мой соня z1 быть круча я весь устраивать не что не тормозить нечего не нажиматься первое впечатление супер а потом убивать мелочь который просто житие не давать,0
2707,оптимизировать энергопотребление и ёмкость аккумулятор ips экран и hd картинка смотреться на такой диагональ отлично нормальный объём оператив и встроить память плюс можно и micro sd карточка поставить не жертвовать два сим карта есть глонасс не хотеться особо много деньга тратить на смартфон да и у топовый модель батарейка на день хорошо если хватать а я этот расклад не устраивать и решить купить себя четыре макс мочь и не очень правильно сделать что купить совершенно свежевать модель на рынок но вот не сказать чтобы я хоть раз пожалеть ips матрица смотреться отлично картинка с насыщенный цветопередача и угол обзор в полный порядок,1
2710,очень тормозной оперативка очень мало к wi fi долго подключаться и сам отключаться свой деньга не стоить продавец молодец поменять на другой модель,0
2711,хорошо держать зарядка средний камера качество сборка а так в основное нормальный телефон пользоваться месенджер и соц сеть нарекание нет,1
2712,батарея при выключить интернет не держать более 9 часы сильно греться в область динамик если убрать весь этот недостаток советовать для звонок,0
2715,заряд держать не долго минь сим нано сим 2 стекло накладный снизу кнопка плохо работать слегка подлагивать но не всегда слегка греться,0
2716,при покупка быть оочень мало доступный внутренний память 1 3 гб обновить устройство добавиться проблема в вид не корректно работать тачскрин понести в сервисный центр где мы поменять сенсорный панель на новый что не решить проблема не корректно работать тачскрин при это решить проблема не достаточный кола ва свободный внутренний память расшириться до 3 с лишний гб,0
2718,заявить гироскоп отсутствовать при чем это официальный ответ производитель что он там нет достаточно тяжёлый при покупка обратить внимание что это производство не bq а bq mobile это как бы китайский клон сам пользоваться bq а данный модель приобретать жена прийтись оформлять возврат короче не советовать,0
2722,в тот же день когда купить сенсор зависнуть зарядка не заканчиваться завтра поехать менять никогда большой не купить такой телефон он я очень разочаровать,0
2724,весь преимущество описать ранее повторяться не быть,1
2726,преимущество огромный количество но хотеться бы выделить самый существенный 1 отличный звук как в наушник так и внешний динамик 2 великолепный экран с отличный цветопередача порог яркость и олеофобный покрытие 3 очень хороший производительность телефон за месяц использование не тормозить ни раз весь игра тянуть на ура приложение открывать весьма быстро 4 хороший камера фотография получаться чёткий и с хорошеть насыщенность особенно порадовать фронтальный камера 5 сборка и внешний вид ничто не лефтит не издавать лишний звук сам же телефон выглядеть презентабельный и аккуратно 6 разный полезный фишка такой как сканер отпечаток палец работать быстро и без осечка инструмент который мочь помочь некоторые и многий другой в общий телефон великолепный рекомендовать весь в бенчмарка an tu tu набрать у я 102000 попугай что несомненно круто так же скоро выйти новый операционный система flayme 6 весь я так и не перечислить у это телефон много плюс но думать самый важный написать,1
2727,сканер батарея экран интернет хотеться рассказать о мыть новый телефон подарить я он мой любимый вместе выбирать сравнивать присматриваться в конец конец взвесить весь плюс и минус я выбрать этот я привлечь не столько дизайн сколько то что внутри сканер лицо мощный объесть батарея 3000 метр ач большой экран с идеальный разрешение и цветопередача любить вечером смотреть фильм а так как телевизор в спальня нет то я смотреть на телефон смотреть через wi fi но иногда когда проблема с wi fi то смотреть через lte с он проблема не бывать камера отличный за неделя сделать уже большой 100 фотография режим много фронталка широкоугольный теперь селфи палка закинуть в дальний ящик особенно приглянуться режим по эскиз то есть нужно просто скачать картинка или фотка потом выставить прозрачность и сделать такой же прикольный получаться,1
2732,16гб внутренний памяти2гб оперативный память мощный процессор 4 g интернет маленький цена отличный телефон советовать брать писать отзыв с он удобный клавиатура но один минус это батарея,1
2733,хороший дисплей и андроид 6 уже довольно давно у я такой смартфон весь работать чистить память ну и стараться большой три приложение сразу не открывать игрушка тип angry birds идти без проблема камера хороший ну только мелкий текст мочь в фокус не поймать корпус не тереться пластик качественный плёнка на экран необходимый а то отпечаток быть сильно видный андроид работать стабильно без глюк всякий меседжер ставиться без проблема и вообще приложение на 6 андроид на маркета куча,1
2739,тихий динамика громкость и разговор очень тихий мочь я такой попасться для игра особо тоже не подходить в большинство случай лагаета страшно также плохой клавиатура постоянно попадать не в то место куда жать в общий телефон не очень но и цена у он не высокий,0
2742,на мой взгляд s8 от s6 после каторов я купить s8 измениться только внешне покупаться s8 для игра но как и весь андрюша подтормаживать покупка недовольный свой деньга нестоить,0
2755,самопроизвольно включаться в режим гарнитур без гарнитур в день раз по пять сдать на 2 день после покупка телефон для глухонемой весь в немой хорошо кроме самый функция телефон спасибо магазин что вернуть деньга легко и просто,0
2756,хороший телефон нормальный прошивка удобный управление паметью большой выбор чехол в инуть не царапаться задний крышка норма телефон за такой маленькая деньга,1
2760,очень шустрый телефон я в восторг нарекание нет пока никакой,1
2762,1 производительность не рекомендовать покупать этот телефон так как производительность у он просто ужасный к пример я листать лента вк и просто вк вылетать так же пытаться 4 раз с телефон скинуть видео в вк но опять вылет не возможно сидеть в ютуба и за вылет единственный способ хоть чуток увеличить производительность это поменять лаучнер у я evie это чуть чуть повысить мощность телефон а так же можно перезагрузить телефон на пара часы избавить телефон от вылет,0
2767,отличный бюджетный телефон давно пользоваться это бренд пока не быть нарекание,1
2772,минимально нагружать глаз высокий качество съёмка разумный толщина корпус быстродействие селфи бомбезный снимать в дисплей очень понравиться что есть фильтр синий при он использование нагрузка на глаз на порядок маленький сидеть я в телефон достаточно часто и ничё глаз не вытекать при использование фильтр синий картинка мочь не столь насыщенный но я глаз важный аккумулятор с ёмкость в 4100 метр ач ожидание оправдать полностью очень долго держать и заряжаться приходиться редко не полениться проверить как работать зарядка другой устройство через otg от смартфон и весь пахать на отлично проблёмкий нету снимать хорошо и на основный и на фронтальный камера как фотография так и видео в тот число короче впечатление у я самый что ни на есть хороший,1
2773,отвратительный камера и экран сильно греться в режим разговор или работа с приложение долго заряжаться общий впечатление удовлетворительно внешне красить но чтобы сделать мало мальск приличный фотка надо замереть при хороший освещение и на расстояние не более метр при ярок свет на солнце на экран практически ничто не видно если одновременно работать несколько приложение и 2 симка ужасно тормозить стоялый вотсап и вибер один прийтись удалить ибо совершить звонок можно быть лишь в течение 3 5 минута заряжаться почти половина день в режим умеренный пользование заряд держать не более сутки флай разочаровать,0
2780,цена качество не скрипеть ничто не болтается; производительность не смотреть на 1 3х4 никакой зависание не наблюдать работать шустро; экран 5 ; андроид 6 если пользоваться телефон по необходимость звонок музыка то держать заряд до 4 сутки я хватать зарядка 1 а с учёт ёмкость в 2 а заряжать на 2 час покупать на смена explay hq пока вполне довольный,1
2782,долгий работа даже при интенсивный эксплуатация много оперативка и процессор быстрый экран с хорошеть цветопередача не подвести ни раз и притягивать к себя реально настоящий куча взгляд изначально планировать нацепить на он бампер и защитный стекло но как показывать практика в они телефон не нуждаться из рука не выскальзывать и не царапаться спустя два месяц весь равно выглядеть как будто я только он из коробка достать результат удивительный весь приложение открывать очень быстро в тот число и камера снимка сохраняться быстро получаться несмазанный и фокусировка даже вручную никогда выставлять не надо и на автомат весь супер весь датчик работать отлично 64гб память вполне комфортно хватать и но и карта память аж до 2тб поставить можно,1
2783,отличный смартфон шустрый весь летать при наличие хороший интернет пользоваться месяц поторопиться я с покупка хотя давно хотеть этот смартфон весь же ещё сыроватый он надо быть samsung брать хоть и бренд и стоить дорогой но такой косяк нет делать вывод покупка довольный на половина,1
2784,дизайн яркость экран читать о камера о тот что она вылетать такой проблема у я нет и не быть ни раз камера не вылететь и телефон сам по себя ни раз не перезагрузиться что касаться сеть сеть ловить хорошо даже на большой расстояние от дом подхватывать вай фай соседка я очень нравиться я довольный телефон советовать,1
2786,необычный вид не как у весь живучий батарея ударопрочный хороший камера громкий динамик корпус прорезиненый не скользкий в общий телефон нравиться купить через неделя отнести в магазин и поменять на такой же с один быть проблема не срабатывать будильник и дрожание экран поменять без проблема,1
2789,экран super amoled сборка и материал дизайн звук качественный и громкий автономность съёмный батарея кома нужный качественный и компактный смартфон хороший выбор конкурент у он практически нет как уже писать это модель j120 f а не j120 h j120 h вроде вообще в россия не поставляться там процессор старый spreadthrum,1
2801,батарея дохлый скользкий без бампер бампер идти в комплект прозрачный весь грязь попадать между он и телефон видный хоть мой каждый день попробовать поэксплуатировать без оный в рука не держаться вообще уронить на кафель треснуть задний крышка с угол прийтись бампер одевать обратно уже в бампер задний крышка раскрошиться полностью некоторый кусок отвалиться через бампер видно плата заряжать всегда когда есть ряд шнурок сутки в режим ожидание минута 10 15 разговор не держать на полный заряд батарея технический характеристика отличный для он цена но удобство эксплуатация ниже плинтус два раз не купить бы,0
2806,про передний камера весь вычитать перед покупка а про основный даже немного забыть если честно но тем не менее и она впечатлять тут и фокусировка почти мгновенный и электронный стабилизация изображение есть весь функция что заявить производитель есть оптимизация хороший сочетание из 506 адрено 625 снап позволять спокойно гонять в любой игра на макс не говорить уже о задача простой эмолд экран радовать и высокий яркость и качество цветопередача на касание реагировать мгновенно и картинка в фуллхд реально супер плотность пиксель отличный советовать к покупка,1
2809,экран камера приобрести данный девайс и небольшой отчёт экран яркий тач на два касание не проблема но ожидать минимум 5 касание плотность пиксель 320 dpi поставить игра асфальт 8 на средний настройка идти без лаг камера в сравнение с huawei honor 4c проигрывать но совсем немного антут набрать 24 193 без сим и карта память батарея печалька надеяться раскачаться быть хороший gps холодный старт быстрый из 10 спутник видеть 8 9 срыв не наблюдать проверять на яндекс навигатор связь норма динамик тихий качество звучание норма в целое аппарат нормальный единственный минус батарея,1
2813,хороший быстрый камера высокий разрешение точка не видно 2 гб озу и быстрый процессор тонкий отличный фирменный интерфейс emui регулярный обновление от производитель gps глонасс аппарат реально радовать за свой деньга весь работать адекватно понятно и без глюк отличный фирменный прошивка обновлять который для свой аппарат производитель не забывать вот недавно прилететь emui 5 0 на android 7 c ядро linux 4 1 до тот быть emui 4 1 android 6 linux 3 16 телефон стать отзывчивый и шустрый только после обновление перестать работать gps модуль обратиться в поддержка она есть и реально работать дозвониться легко предложить просто сбросить на заводский настройка после обновление так и сделать gps заработать кстати gps быстро находить спутник после включение буквально за 10 секунда,1
2815,прежде всего внешний вид выглядеть гораздо дорогой чем стоить качество сборка приятно лежать в рука быстрый процессор установить миллион приложение не подвисать разрешение экран годный на солнце весь прекрасно видно чехол в комплект это действительно приятно избавлять от лишнихдвижение в покупка чехол или бампер камера хороший чем ожидаться у деваться за 5тысяча при дневный свететак вообще отличный android 6 0 отличный девайс свой ценовый сегмент хороший чем ожидать,1
2816,очень красивый цвета и вообще выглядеть прикольный быстренький семь андройда стоить и работать телефончик быстро покупать при несколько ограниченный бюджет и куча время потратить в магазин но уйти домой с это н3 работать быстренько куда живой чем я первоначально ожидать и камера тут стоить на удивление хороший весь хорошо фотографироваться фокусировка очень быстрый и искажение любой род нет на фотка весь видно в мелкий подробность телефончик обалденный,1
2817,корпус камера подарить жена этот модель в целое смарфон не плохой но есть неприятный мелочь первое это постоянный ошибка в приложение viber при прокручивание сообщение вылетать два иногда камера не успевать за вспышка и третье заметный тормоз в работа система,0
2818,отсутствовать глонасс при тот что в характеристика он указанный постоянно расти цена отсутствие радио единственный кнопка глюк поотсутствие одежда на модель хоть радио и не указать в характеристика не весь обращать на это внимание потому что пользователь привыкнуть к наличие в гаджет радио по умолчание обращать внимание радио в телефон нет глонасс хоть и никто кроме наш правительство не нужный тем не менее в характеристика он указанный фактически отсутствовать к единственный кнопка очень тяжело привыкнуть я не привыкнуть то вместо касание я её нажимать и вылетать на раб стол то вместо нажатие я просто её касаться по несколько раз и попадать не понять куда браузер даже при отключить сохранение история если нажать кнопка назад попадать на предыдущий посетить страница конспиролог на заметка флайм тихий ужас весь установленный по находиться на раб стол при удаление иконка с раб стол удаляться и сам по конспиролог снова на заметка по вы не спрятать при настройка сеть например только 3 g при попадание телефон в зона плохой приём связь слетать на h в предыдущий мыть смартфон dns функция быть реализовать хороший если я устанавливать 3 g то он никогда не слетать на связь класс ниже 8 ядерный процессор возможно чувствоваться в игра но я не геймер увеличение быстродействие система в сравнение с 4 ядерный гаджет я не увидеть плюс телефон не описывать они есть но при дать стоимость гаджет они просто обязать быть по умолчание а учитывать нынешний ценовый политика организация писать хотеться только о минус,0
2830,хороший телефон который я пользоваться за такой цена весь брат рекомендовать брать пока действовать скидос рекомендовать,1
2833,через день после покупка стать колпачить сенсор залипание произвольный нажатие полный отказ в работа оооочень удивить дать неполадка том к брать самсунг из за соображение надёжность на день понести на экспертиза надеяться на обмен,0
2834,много всякий хлам предустановленный новое приложение ставиться с труд камера никакой пользоваться телефон большой год проблема начаться на два день после покупка пять раз сдавать в магазин не днс весь пять раз возвращать с пометка устройство полностью исправно однако телефон греться просто ужасно заряд терять на глаз мочь за 10 минута разрядиться с 100 до 0 сеть терять зависать постоянно требовать обновление при тот что сделать это не возможно писать нет место хотя установить лишь пара приложение а весь остальной файл находиться на карта память к домашний wi fi нужно подключаться каждый раз как в один раз не мочь запомнить пароль фотка ужасный днём на улица ещё можно что то снять но чуть начать смеркаться или зайти в помещение весь о фото можно и не мечтать родной зарядка через месяц два накрыться теперь уже и гнездо для зарядка подходить к конец давно бы уже поменять он но жаль потратить деньга решить убить он в хлам и это день весь близкий и близкий быть нетбук асус и имя я пользоваться год 10 без всякий нарекание а вот в отношение телефон асус у я быть в один и последний раз,0
2841,хорошо держать батарея gps глонасс на 5 4 g на 5 хороший камера автофокус двойной вспышка экран по суть чуть улучшеyный ips чистый андроид кроме загрузчик правильный nfc отличный звук в наушник сделать для европа отличный аппарат за свой деньга выглядеть стильно задний панелька стекло возможно процессор кома то показаться слабый зато не жрать батарея но я пока хватать на весь сканер отпечаток работать нормальный работать стабильно ни раз не вис не перезагружаться очень порадовать действительно быстрый зарядка по характеристика близкий к новый samsung galaxy a5 2017 год но выглядеть куда хороший и большой память хотя у самсунг ip68 против ip52,1
2843,скорость переключение между камера высокий качество изготовление корпус акума хороший можно поставить карта память и характеристика в целое батарейка всегда на день хватать дазжий при почти непрерывный сидение в телефон с утро до вечер разрядить он так и не получиться а ведь я и в игрушка играть и видео в ultrahd снимать последний выглядеть потрясающе но и память съедать на раз два последний не проблема встроить память много да и карта память можно поставить правда тогда 2 симка не поставить неудобно лишь что при съёмка видео нет возможность переключение между камера на 8мп и 12мп но не сказать чтобы этот функция быть особенно нужный корпус стильный металлический с стекло спереди и сзади,1
2846,дешёвый стильно выглядеть чёткий экран с маленький боков рамка сканер отпечаток палец до 5 штука собранный качественно справляться с свой задача очень даже шустро сравнивать с брендов который стоить дорогой если честно даже не заметить разница только этот ещё и с сканер сильно греться зарядка но это нормальный сам же телефон при зарядка и работа одновременно оставаться еле тёплый полный зарядка происходить примерно где то за 3 5 час мочь маленький точно не засекать,1
2849,приятный на ощупь хорошо лежать в рука дисплей для я отличный падать пара раз на торец вмятина на корпус есть а дисплей целый камера хороший качество снимок довольный весь норма полёт нормальный юзать можно,1
2853,цена дизайн начинка но вот тут вот есть и недостаток присутствие какой не какой защитный плёнка наличие в продажа силиконовый чехол под он бояться что прийтись на али рыскать в поиск пользоваться чуть большой 2х месяц глюк помимо тот что с игра не заметить связь держать хорошо вай фай через стен ловить тяжёлый но это даже к хороший в общий соотношение цена качество вполне оправданный для этот модель,1
2857,время работа и быстрый скорость зарядка оптимальный размер для телефон с больший аккумулятор поддержка 4 g работать в сфера продажа и почти целый день приходиться пользоваться социальный сеть конечно бывать ситуация когда нет возможность зарядиться… весь таки в итог купить xpower чтобы не носить с себя внешний аккумулятор выбрать именно он потому что долго держать зарядка и при это не громоздкий не тяжёлый в камера понравиться режим автосъёмка и эффект сглаживание лицо не тормозить не тупить мочь даже зарядить другой телефон выступить в качество донор так сказать – иногда так делать есть поддержка 2х сим карта а память хватать и без карта память так как слот совместить – приходиться выбирать либо симка либо память,1
